"","x"
"(Intercept)",0.074289728298881
"Age25-34",-0.673685070241871
"Age35-44",-1.7943532448547
"Age45+",-2.39333889416625
"GenderMale",0.645252536735051
"EducationLeft school",0.438348755991412
"EducationProfessional certificate/ diploma",0.38749324273074
"EducationSome college or university, no certificate or degree",0.493862965923179
"EducationUniversity degree",0.0995223690378914
"CScoreHigh",-0.275618096106966
"CScoreLow",0.289197700923557
"CScoreVeryLow",0.266450872764456
"AScoreHigh",-0.538342149660984
"AScoreLow",0.24234436377549
"AScoreVeryLow",0.448249494172974
"OScoreHigh",0.669268426013839
"OScoreLow",-0.691059849333257
"OScoreVeryLow",-0.586883928518579
