"";"ID";"Age";"Gender";"Education";"Country";"Ethnicity";"NScore";"EScore";"OScore";"AScore";"CScore";"Alcohol";"Amphet";"Amyl";"Benzos";"Caff";"Cannabis";"Choc";"Cokes";"Crack";"Ecstasy";"Heroin";"Ketamine";"Legalh";"LSD";"Meth";"Mushrooms";"Nicotine";"Semer";"VSA";"alcohol_user";"ecstasy_user";"cannabis_user";"stimulating_user"
"1";1;"35-44";"Female";"Professional certificate/ diploma";"UK";"Mixed-White/Asian";"Low";"Low";"Low";"Low";"Low";"Used in Last Week";"Used in Last Decade";"Never Used";"Used in Last Decade";"Used in Last Day";"Never Used";"Used in Last Week";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used in Last Decade";"Never Used";"Never Used";1;0;0;0
"2";2;"25-34";"Male";"Doctorate degree";"UK";"White";"Very Low";"Average";"High";"Average";"Low";"Used in Last Week";"Used in Last Decade";"Used in Last Decade";"Never Used";"Used in Last Day";"Used in Last Month";"Used in Last Day";"Used in Last Year";"Never Used";"Used in Last Month";"Never Used";"Used in Last Decade";"Never Used";"Used in Last Decade";"Used in Last Year";"Never Used";"Used in Last Month";"Never Used";"Never Used";1;1;1;1
"3";3;"35-44";"Male";"Professional certificate/ diploma";"UK";"White";"Very Low";"Average";"Low";"Very Low";"Very Low";"Used in Last Day";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Used in Last Year";"Used in Last Month";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used over a Decade Ago";"Never Used";"Never Used";"Never Used";1;0;1;0
"4";4;"18-24";"Female";"Masters degree";"UK";"White";"Very Low";"Very Low";"Average";"Average";"Average";"Used in Last Month";"Never Used";"Never Used";"Used in Last Year";"Used in Last Week";"Used in Last Decade";"Used in Last Month";"Used in Last Decade";"Never Used";"Never Used";"Never Used";"Used in Last Decade";"Never Used";"Never Used";"Never Used";"Never Used";"Used in Last Decade";"Never Used";"Never Used";1;0;0;0
"5";5;"35-44";"Female";"Doctorate degree";"UK";"White";"Low";"Very Low";"Low";"Low";"Average";"Used in Last Month";"Used over a Decade Ago";"Used over a Decade Ago";"Never Used";"Used in Last Day";"Used in Last Year";"Used in Last Day";"Never Used";"Never Used";"Used over a Decade Ago";"Never Used";"Never Used";"Used over a Decade Ago";"Never Used";"Never Used";"Used in Last Decade";"Used in Last Decade";"Never Used";"Never Used";1;0;1;0
"6";6;"65+";"Female";"Left school at 18 years";"Canada";"White";"Very Low";"Low";"Low";"High";"Average";"Used in Last Decade";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Never Used";"Used in Last Month";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Never Used";"Never Used";0;0;0;0
"7";7;"45-54";"Male";"Masters degree";"USA";"White";"Very Low";"Very Low";"Low";"Low";"Average";"Used in Last Day";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Used over a Decade Ago";"Used in Last Week";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Never Used";"Never Used";1;0;0;0
"8";8;"35-44";"Male";"Left school at 16 years";"UK";"White";"Very Low";"Average";"Low";"Low";"Average";"Used in Last Week";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Never Used";"Used in Last Month";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";1;0;0;0
"9";9;"35-44";"Female";"Professional certificate/ diploma";"Canada";"White";"Low";"High";"Low";"Average";"Average";"Used in Last Month";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Never Used";"Used in Last Day";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Never Used";"Never Used";1;0;0;0
"10";10;"55-64";"Male";"Masters degree";"UK";"White";"Very Low";"Low";"Low";"Average";"Low";"Used in Last Day";"Used over a Decade Ago";"Never Used";"Used over a Decade Ago";"Used in Last Day";"Used over a Decade Ago";"Used in Last Day";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Never Used";"Never Used";1;0;0;0
