"";"ID";"alcohol_user";"ecstasy_user";"cannabis_user";"stimulating_user";"Age_35-44";"Age_25-34";"Age_18-24";"Age_65+";"Age_45-54";"Age_55-64";"Gender_Female";"Gender_Male";"Education_Professional certificate/ diploma";"Education_Doctorate degree";"Education_Masters degree";"Education_Left school at 18 years";"Education_Left school at 16 years";"Education_University degree";"Education_Some college or university, no certificate or degree";"Education_Left school before 16 years";"Education_Left school at 17 years";"Country_UK";"Country_Canada";"Country_USA";"Country_Other";"Country_Australia";"Country_Republic of Ireland";"Country_New Zealand";"Ethnicity_Mixed-White/Asian";"Ethnicity_White";"Ethnicity_Other";"Ethnicity_Mixed-White/Black";"Ethnicity_Asian";"Ethnicity_Black";"Ethnicity_Mixed-Black/Asian";"NScore_Low";"NScore_Very Low";"NScore_High";"NScore_Average";"EScore_Low";"EScore_Average";"EScore_Very Low";"EScore_High";"OScore_Low";"OScore_High";"OScore_Average";"OScore_Very Low";"AScore_Low";"AScore_Average";"AScore_Very Low";"AScore_High";"CScore_Low";"CScore_Very Low";"CScore_Average";"CScore_High";"Alcohol_Used in Last Week";"Alcohol_Used in Last Day";"Alcohol_Used in Last Month";"Alcohol_Used in Last Decade";"Alcohol_Used over a Decade Ago";"Alcohol_Never Used";"Alcohol_Used in Last Year";"Amphet_Used in Last Decade";"Amphet_Never Used";"Amphet_Used over a Decade Ago";"Amphet_Used in Last Year";"Amphet_Used in Last Week";"Amphet_Used in Last Month";"Amphet_Used in Last Day";"Amyl_Never Used";"Amyl_Used in Last Decade";"Amyl_Used over a Decade Ago";"Amyl_Used in Last Year";"Amyl_Used in Last Week";"Amyl_Used in Last Month";"Amyl_Used in Last Day";"Benzos_Used in Last Decade";"Benzos_Never Used";"Benzos_Used in Last Year";"Benzos_Used over a Decade Ago";"Benzos_Used in Last Month";"Benzos_Used in Last Week";"Benzos_Used in Last Day";"Caff_Used in Last Day";"Caff_Used in Last Week";"Caff_Used in Last Month";"Caff_Used in Last Year";"Caff_Never Used";"Caff_Used over a Decade Ago";"Caff_Used in Last Decade";"Cannabis_Never Used";"Cannabis_Used in Last Month";"Cannabis_Used in Last Year";"Cannabis_Used in Last Decade";"Cannabis_Used over a Decade Ago";"Cannabis_Used in Last Day";"Cannabis_Used in Last Week";"Choc_Used in Last Week";"Choc_Used in Last Day";"Choc_Used in Last Month";"Choc_Never Used";"Choc_Used in Last Year";"Choc_Used in Last Decade";"Choc_Used over a Decade Ago";"Cokes_Never Used";"Cokes_Used in Last Year";"Cokes_Used in Last Decade";"Cokes_Used over a Decade Ago";"Cokes_Used in Last Day";"Cokes_Used in Last Week";"Cokes_Used in Last Month";"Crack_Never Used";"Crack_Used over a Decade Ago";"Crack_Used in Last Decade";"Crack_Used in Last Year";"Crack_Used in Last Week";"Crack_Used in Last Month";"Crack_Used in Last Day";"Ecstasy_Never Used";"Ecstasy_Used in Last Month";"Ecstasy_Used over a Decade Ago";"Ecstasy_Used in Last Year";"Ecstasy_Used in Last Decade";"Ecstasy_Used in Last Day";"Ecstasy_Used in Last Week";"Heroin_Never Used";"Heroin_Used over a Decade Ago";"Heroin_Used in Last Decade";"Heroin_Used in Last Year";"Heroin_Used in Last Week";"Heroin_Used in Last Day";"Heroin_Used in Last Month";"Ketamine_Never Used";"Ketamine_Used in Last Decade";"Ketamine_Used in Last Year";"Ketamine_Used over a Decade Ago";"Ketamine_Used in Last Week";"Ketamine_Used in Last Month";"Ketamine_Used in Last Day";"Legalh_Never Used";"Legalh_Used over a Decade Ago";"Legalh_Used in Last Decade";"Legalh_Used in Last Year";"Legalh_Used in Last Week";"Legalh_Used in Last Month";"Legalh_Used in Last Day";"LSD_Never Used";"LSD_Used in Last Decade";"LSD_Used over a Decade Ago";"LSD_Used in Last Year";"LSD_Used in Last Month";"LSD_Used in Last Week";"LSD_Used in Last Day";"Meth_Never Used";"Meth_Used in Last Year";"Meth_Used over a Decade Ago";"Meth_Used in Last Day";"Meth_Used in Last Month";"Meth_Used in Last Decade";"Meth_Used in Last Week";"Mushrooms_Never Used";"Mushrooms_Used over a Decade Ago";"Mushrooms_Used in Last Decade";"Mushrooms_Used in Last Year";"Mushrooms_Used in Last Month";"Mushrooms_Used in Last Week";"Mushrooms_Used in Last Day";"Nicotine_Used in Last Decade";"Nicotine_Used in Last Month";"Nicotine_Never Used";"Nicotine_Used in Last Day";"Nicotine_Used over a Decade Ago";"Nicotine_Used in Last Year";"Nicotine_Used in Last Week";"Semer_Never Used";"Semer_Used in Last Decade";"Semer_Used in Last Year";"Semer_Used in Last Month";"Semer_Used over a Decade Ago";"VSA_Never Used";"VSA_Used over a Decade Ago";"VSA_Used in Last Year";"VSA_Used in Last Day";"VSA_Used in Last Decade";"VSA_Used in Last Week";"VSA_Used in Last Month"
"1";1;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
"2";2;1;1;1;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
"3";3;1;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
"4";4;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
"5";5;1;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
"6";6;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
"7";7;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
"8";8;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
"9";9;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
"10";10;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
