"X" "Y"
1.1 17.85
9.4 24.75
3.3 21.26
4.3 25.24
9.5 30.06
5.6 24.66
5 21.71
10 29.43
8.8 24.24
8.2 24.86
8.1 24.18
1.2 18.8
2.7 20.04
4.7 23.41
4.3 19.82
3.9 17
1.7 21.41
6.4 26.21
6.7 23.89
9.3 25.44
8.1 29.12
9.6 33.01
9.1 29.23
4.7 24.35
10 28.72
7.4 24.68
5.6 20.03
9.7 26.04
9.6 30.82
9.7 29.07
1.2 18.78
5.6 23.41
8 26.19
9.5 31.2
6 23.97
2.4 20.2
6.7 22.4
1.4 18.53
6.2 25.75
6.2 22.44
5.6 26.4
8.6 22.35
9 26.54
6.9 26.32
5.3 24.61
8.6 24.67
9.4 24.33
1.5 16.5
2.9 23.06
9.6 31.87
8 25.73
1.1 20.67
4.2 20.62
1.7 15.59
9.2 30.12
7.9 28.67
5.3 23.14
9.5 26.71
1.1 19.06
2 18.89
1.9 19.33
3.8 21.17
8.8 27.14
5.5 22.43
5.9 18.84
3.6 23.08
3.1 15.98
5.5 26.17
4.8 22.92
6.6 26.15
7.4 28.06
7.7 21.05
6.6 22.19
4.3 18.9
9.6 28.87
7.8 29.42
6.4 23.38
5.1 22.92
5.1 22
3.2 21.32
1.7 16.22
4.1 23.39
4.1 20.59
2.7 21.85
3.5 23.26
8 24.48
5.4 28.06
6.8 22.28
5.8 24.38
6 24.39
4 23.72
6.6 23.68
2.5 18.13
6 24.45
8.9 27.08
5.1 18.61
9.1 31.31
7.6 24.04
9.3 29.09
9.1 26.9
